<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20180103;100500;131.0300000;131.1900000;130.6600000;131.0600000;204040
20180103;101000;131.0600000;131.1000000;130.6300000;130.8300000;147300
20180103;101500;130.8000000;131.0900000;130.7200000;131.0200000;176780
20180103;102000;131.0700000;131.1500000;130.7200000;130.7400000;161440
20180103;102500;130.8000000;130.8800000;130.7200000;130.8800000;41910
20180103;103000;130.8800000;130.9400000;130.6800000;130.6800000;16650
20180103;103500;130.7400000;131.0900000;130.7300000;131.0800000;47890
20180103;104000;131.0500000;131.4500000;131.0300000;131.3900000;163410
20180103;104500;131.3500000;131.7500000;131.2700000;131.4000000;193300
20180103;105000;131.4500000;131.4700000;131.1500000;131.2200000;32460
20180103;105500;131.2600000;131.4400000;131.2000000;131.4100000;113490
20180103;110000;131.3600000;131.4000000;131.2000000;131.4000000;41670
20180103;110500;131.3500000;131.4000000;131.2700000;131.3000000;55310
20180103;111000;131.2900000;131.5000000;131.2000000;131.5000000;156940
20180103;111500;131.4600000;131.8700000;131.4500000;131.7300000;375120
20180103;112000;131.6500000;131.6900000;131.3400000;131.5200000;148690
20180103;112500;131.5200000;131.6000000;131.2100000;131.3700000;129130
20180103;113000;131.4400000;131.4700000;131.2100000;131.3000000;107140
20180103;113500;131.2500000;131.4200000;131.2100000;131.2400000;332950
20180103;114000;131.2900000;131.3900000;131.2100000;131.3300000;220400
20180103;114500;131.3900000;131.5700000;131.3100000;131.4800000;212330
20180103;115000;131.4800000;131.6200000;131.3800000;131.5300000;402850
20180103;115500;131.5000000;131.5800000;131.5000000;131.5400000;192740
20180103;120000;131.5000000;131.5500000;131.2100000;131.2100000;173380
20180103;120500;131.2700000;131.3100000;131.1300000;131.2200000;85510
20180103;121000;131.2800000;131.2800000;131.1500000;131.2600000;38280
20180103;121500;131.2600000;131.3000000;131.1600000;131.1800000;42630
20180103;122000;131.2200000;131.3000000;131.1400000;131.1700000;54010
20180103;122500;131.2100000;131.2300000;131.1500000;131.1500000;8170
20180103;123000;131.1300000;131.1800000;131.0500000;131.0800000;20610
20180103;123500;131.1100000;131.3600000;131.1100000;131.3400000;51070
20180103;124000;131.3500000;131.4600000;131.2900000;131.4600000;75030
20180103;124500;131.4500000;131.6400000;131.4400000;131.6400000;148640
20180103;125000;131.6500000;131.6600000;131.3900000;131.4200000;74060
20180103;125500;131.4500000;131.4600000;131.3100000;131.4000000;19140
20180103;130000;131.3700000;131.4600000;131.3100000;131.4600000;23370
20180103;130500;131.4500000;131.5000000;131.3700000;131.4900000;50800
20180103;131000;131.5000000;131.5400000;131.4500000;131.4600000;13210
20180103;131500;131.4600000;131.5300000;131.3800000;131.4900000;36310
20180103;132000;131.4400000;131.5500000;131.3800000;131.5000000;28520
20180103;132500;131.5600000;131.5700000;131.4500000;131.5600000;43940
20180103;133000;131.5800000;131.5800000;131.3800000;131.4300000;74250
20180103;133500;131.3800000;131.5100000;131.3600000;131.4100000;35670
20180103;134000;131.4600000;131.4600000;131.1900000;131.3000000;239640
20180103;134500;131.3500000;131.4900000;131.3500000;131.4000000;64070
20180103;135000;131.3900000;131.4600000;131.3700000;131.3800000;11360
20180103;135500;131.4200000;131.4800000;131.3300000;131.3400000;113940
20180103;140000;131.3300000;131.4000000;131.3200000;131.3200000;8160
20180103;140500;131.3200000;131.4600000;131.3000000;131.4600000;40630
20180103;141000;131.4000000;131.6000000;131.4000000;131.5900000;115270
20180103;141500;131.5900000;131.5900000;131.4900000;131.4900000;7110
20180103;142000;131.4500000;131.4800000;131.3400000;131.4000000;10170
20180103;142500;131.4000000;131.4100000;131.2400000;131.3400000;57300
20180103;143000;131.3600000;131.3800000;131.2200000;131.2500000;80720
20180103;143500;131.2600000;131.2600000;131.0000000;131.1100000;127250
20180103;144000;131.0500000;131.1400000;131.0300000;131.1000000;53210
20180103;144500;131.1500000;131.1800000;131.0700000;131.0700000;13020
20180103;145000;131.0700000;131.1300000;131.0500000;131.1000000;17860
20180103;145500;131.0700000;131.0900000;130.9200000;130.9700000;72980
20180103;150000;130.9600000;131.1200000;130.9600000;131.0100000;62950
20180103;150500;131.0100000;131.0100000;130.9000000;130.9500000;41300
20180103;151000;130.9500000;130.9500000;130.6700000;130.7900000;188380
20180103;151500;130.8200000;130.8900000;130.8200000;130.8800000;17910
20180103;152000;130.8900000;131.1700000;130.8900000;131.1200000;42710
20180103;152500;131.1000000;131.1300000;130.9700000;131.0000000;19480
20180103;153000;131.0100000;131.0700000;130.9500000;130.9900000;21630
20180103;153500;131.0100000;131.0400000;130.8300000;131.0300000;188530
20180103;154000;131.0300000;131.0800000;131.0100000;131.0800000;31390
20180103;154500;131.0900000;131.0900000;130.9800000;130.9900000;32760
