<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20180103;100500;6327.0000000;6434.0000000;6322.0000000;6432.0000000;4726
20180103;101000;6433.0000000;6450.0000000;6404.0000000;6404.0000000;3085
20180103;101500;6402.0000000;6410.0000000;6397.0000000;6399.0000000;1172
20180103;102000;6403.0000000;6405.0000000;6385.0000000;6389.0000000;807
20180103;102500;6389.0000000;6390.0000000;6380.0000000;6388.0000000;588
20180103;103000;6388.0000000;6404.0000000;6388.0000000;6400.0000000;853
20180103;103500;6399.0000000;6407.0000000;6397.0000000;6407.0000000;1262
20180103;104000;6407.0000000;6407.0000000;6400.0000000;6404.0000000;479
20180103;104500;6403.0000000;6430.0000000;6402.0000000;6425.0000000;3018
20180103;105000;6425.0000000;6433.0000000;6415.0000000;6415.0000000;1208
20180103;105500;6418.0000000;6427.0000000;6413.0000000;6424.0000000;739
20180103;110000;6420.0000000;6433.0000000;6412.0000000;6430.0000000;827
20180103;110500;6433.0000000;6447.0000000;6431.0000000;6440.0000000;3087
20180103;111000;6439.0000000;6447.0000000;6435.0000000;6445.0000000;1160
20180103;111500;6444.0000000;6447.0000000;6440.0000000;6440.0000000;692
20180103;112000;6443.0000000;6468.0000000;6431.0000000;6467.0000000;3023
20180103;112500;6466.0000000;6485.0000000;6461.0000000;6474.0000000;2428
20180103;113000;6474.0000000;6484.0000000;6463.0000000;6475.0000000;1184
20180103;113500;6475.0000000;6480.0000000;6455.0000000;6460.0000000;1258
20180103;114000;6461.0000000;6467.0000000;6448.0000000;6457.0000000;928
20180103;114500;6458.0000000;6475.0000000;6456.0000000;6465.0000000;1335
20180103;115000;6461.0000000;6468.0000000;6448.0000000;6451.0000000;2256
20180103;115500;6451.0000000;6454.0000000;6441.0000000;6447.0000000;1185
20180103;120000;6447.0000000;6451.0000000;6441.0000000;6449.0000000;2014
20180103;120500;6448.0000000;6475.0000000;6448.0000000;6463.0000000;2856
20180103;121000;6465.0000000;6474.0000000;6456.0000000;6466.0000000;1437
20180103;121500;6469.0000000;6472.0000000;6466.0000000;6472.0000000;1054
20180103;122000;6471.0000000;6480.0000000;6470.0000000;6476.0000000;1804
20180103;122500;6476.0000000;6479.0000000;6469.0000000;6469.0000000;1110
20180103;123000;6465.0000000;6473.0000000;6456.0000000;6459.0000000;3144
20180103;123500;6459.0000000;6469.0000000;6459.0000000;6465.0000000;1013
20180103;124000;6467.0000000;6484.0000000;6464.0000000;6483.0000000;5168
20180103;124500;6484.0000000;6484.0000000;6478.0000000;6483.0000000;1609
20180103;125000;6480.0000000;6480.0000000;6470.0000000;6479.0000000;1149
20180103;125500;6476.0000000;6478.0000000;6472.0000000;6472.0000000;225
20180103;130000;6471.0000000;6476.0000000;6466.0000000;6472.0000000;1244
20180103;130500;6470.0000000;6474.0000000;6465.0000000;6467.0000000;1328
20180103;131000;6467.0000000;6483.0000000;6466.0000000;6477.0000000;1502
20180103;131500;6479.0000000;6479.0000000;6471.0000000;6471.0000000;380
20180103;132000;6471.0000000;6478.0000000;6468.0000000;6474.0000000;746
20180103;132500;6472.0000000;6482.0000000;6469.0000000;6480.0000000;702
20180103;133000;6479.0000000;6482.0000000;6469.0000000;6471.0000000;812
20180103;133500;6473.0000000;6479.0000000;6471.0000000;6477.0000000;623
20180103;134000;6473.0000000;6479.0000000;6470.0000000;6474.0000000;1002
20180103;134500;6474.0000000;6477.0000000;6473.0000000;6473.0000000;152
20180103;135000;6473.0000000;6476.0000000;6473.0000000;6473.0000000;53
20180103;135500;6475.0000000;6476.0000000;6470.0000000;6472.0000000;1370
20180103;140000;6471.0000000;6478.0000000;6471.0000000;6474.0000000;383
20180103;140500;6472.0000000;6475.0000000;6470.0000000;6475.0000000;136
20180103;141000;6471.0000000;6475.0000000;6470.0000000;6472.0000000;645
20180103;141500;6472.0000000;6474.0000000;6470.0000000;6472.0000000;468
20180103;142000;6472.0000000;6475.0000000;6470.0000000;6470.0000000;457
20180103;142500;6470.0000000;6475.0000000;6467.0000000;6471.0000000;1053
20180103;143000;6472.0000000;6476.0000000;6471.0000000;6471.0000000;281
20180103;143500;6471.0000000;6477.0000000;6471.0000000;6477.0000000;302
20180103;144000;6474.0000000;6481.0000000;6474.0000000;6481.0000000;606
20180103;144500;6481.0000000;6482.0000000;6476.0000000;6478.0000000;850
20180103;145000;6477.0000000;6481.0000000;6476.0000000;6477.0000000;320
20180103;145500;6477.0000000;6484.0000000;6471.0000000;6481.0000000;3493
20180103;150000;6481.0000000;6484.0000000;6480.0000000;6481.0000000;1784
20180103;150500;6481.0000000;6483.0000000;6481.0000000;6482.0000000;461
20180103;151000;6482.0000000;6482.0000000;6468.0000000;6471.0000000;3315
20180103;151500;6473.0000000;6478.0000000;6471.0000000;6471.0000000;667
20180103;152000;6470.0000000;6475.0000000;6470.0000000;6473.0000000;702
