<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20180103;100500;1920.0000000;1923.0000000;1917.0000000;1923.0000000;1548
20180103;101000;1923.5000000;1927.0000000;1915.0000000;1917.0000000;653
20180103;101500;1917.0000000;1925.5000000;1917.0000000;1925.5000000;499
20180103;102000;1922.5000000;1923.0000000;1919.0000000;1919.0000000;127
20180103;102500;1918.5000000;1918.5000000;1918.5000000;1918.5000000;111
20180103;103000;1922.0000000;1922.0000000;1922.0000000;1922.0000000;3
20180103;103500;1923.5000000;1923.5000000;1920.5000000;1920.5000000;170
20180103;104000;1921.0000000;1924.0000000;1920.5000000;1924.0000000;155
20180103;104500;1924.0000000;1927.0000000;1924.0000000;1925.0000000;133
20180103;105000;1925.5000000;1926.0000000;1923.0000000;1923.0000000;12
20180103;105500;1922.5000000;1924.5000000;1922.5000000;1924.5000000;6
20180103;110000;1924.5000000;1926.5000000;1924.5000000;1926.5000000;103
20180103;110500;1925.0000000;1925.0000000;1922.5000000;1922.5000000;127
20180103;111000;1923.0000000;1924.5000000;1921.0000000;1924.5000000;167
20180103;111500;1925.0000000;1926.0000000;1923.5000000;1926.0000000;160
20180103;112000;1924.5000000;1925.5000000;1923.5000000;1924.5000000;97
20180103;112500;1923.0000000;1924.0000000;1920.5000000;1924.0000000;442
20180103;113000;1922.0000000;1922.0000000;1920.5000000;1920.5000000;359
20180103;113500;1921.5000000;1921.5000000;1920.5000000;1920.5000000;232
20180103;114000;1920.5000000;1922.5000000;1920.0000000;1920.0000000;479
20180103;114500;1920.0000000;1923.0000000;1920.0000000;1923.0000000;40
20180103;115000;1921.0000000;1923.0000000;1920.0000000;1922.0000000;347
20180103;115500;1921.0000000;1922.5000000;1920.0000000;1920.0000000;402
20180103;120000;1921.5000000;1921.5000000;1921.0000000;1921.0000000;29
20180103;120500;1920.0000000;1922.0000000;1920.0000000;1922.0000000;9
20180103;121500;1922.0000000;1922.0000000;1920.0000000;1922.0000000;47
20180103;122000;1920.0000000;1920.5000000;1920.0000000;1920.0000000;89
20180103;122500;1920.0000000;1920.0000000;1920.0000000;1920.0000000;106
20180103;123000;1921.0000000;1922.0000000;1920.0000000;1922.0000000;105
20180103;123500;1920.5000000;1922.0000000;1920.5000000;1920.5000000;51
20180103;124000;1920.5000000;1922.5000000;1920.5000000;1922.0000000;37
20180103;124500;1922.5000000;1926.5000000;1922.5000000;1926.5000000;932
20180103;125000;1926.5000000;1927.0000000;1924.0000000;1924.0000000;110
20180103;125500;1926.5000000;1926.5000000;1926.5000000;1926.5000000;10
20180103;130000;1924.5000000;1924.5000000;1924.0000000;1924.0000000;24
20180103;130500;1923.0000000;1923.0000000;1921.5000000;1921.5000000;134
20180103;131000;1923.5000000;1924.0000000;1922.0000000;1922.0000000;20
20180103;131500;1924.0000000;1924.0000000;1921.5000000;1922.0000000;30
20180103;132000;1921.5000000;1923.5000000;1920.0000000;1920.0000000;373
20180103;132500;1920.5000000;1921.5000000;1919.0000000;1921.5000000;406
20180103;133000;1921.5000000;1921.5000000;1919.0000000;1919.5000000;361
20180103;133500;1919.5000000;1919.5000000;1918.5000000;1918.5000000;260
20180103;134000;1921.0000000;1921.0000000;1918.5000000;1918.5000000;116
20180103;134500;1920.5000000;1920.5000000;1918.5000000;1918.5000000;205
20180103;135000;1920.5000000;1921.0000000;1920.5000000;1921.0000000;6
20180103;135500;1921.0000000;1923.5000000;1920.0000000;1923.5000000;317
20180103;140000;1923.5000000;1924.5000000;1923.5000000;1924.5000000;175
20180103;140500;1924.5000000;1924.5000000;1922.5000000;1922.5000000;23
20180103;141000;1924.5000000;1925.0000000;1923.5000000;1923.5000000;183
20180103;141500;1925.0000000;1926.0000000;1924.0000000;1926.0000000;98
20180103;142000;1924.5000000;1924.5000000;1923.5000000;1923.5000000;18
20180103;142500;1924.5000000;1925.0000000;1924.5000000;1925.0000000;12
20180103;143000;1926.0000000;1926.0000000;1923.0000000;1923.0000000;60
20180103;143500;1923.5000000;1924.5000000;1923.5000000;1923.5000000;61
20180103;144000;1925.0000000;1926.0000000;1925.0000000;1926.0000000;21
20180103;144500;1926.0000000;1927.0000000;1926.0000000;1927.0000000;611
20180103;145000;1927.0000000;1927.0000000;1925.0000000;1925.0000000;8
20180103;145500;1925.0000000;1927.0000000;1925.0000000;1927.0000000;265
20180103;150000;1927.0000000;1927.0000000;1924.5000000;1924.5000000;80
20180103;150500;1926.0000000;1926.0000000;1924.0000000;1924.0000000;12
20180103;151000;1925.0000000;1925.0000000;1922.5000000;1922.5000000;31
20180103;151500;1923.0000000;1923.0000000;1923.0000000;1923.0000000;35
20180103;152000;1923.0000000;1925.0000000;1923.0000000;1925.0000000;54
20180103;152500;1924.0000000;1927.0000000;1924.0000000;1927.0000000;75
20180103;153500;1926.0000000;1927.0000000;1924.0000000;1924.0000000;247
20180103;154000;1923.0000000;1924.5000000;1923.0000000;1924.5000000;76
20180103;154500;1925.5000000;1927.0000000;1924.0000000;1925.5000000;150
20180103;155000;1924.5000000;1924.5000000;1922.5000000;1924.0000000;262
20180103;155500;1924.0000000;1926.5000000;1922.5000000;1922.5000000;115
20180103;160000;1925.0000000;1925.0000000;1923.5000000;1923.5000000;475
20180103;160500;1926.0000000;1926.0000000;1925.5000000;1926.0000000;51
20180103;161000;1926.0000000;1926.5000000;1924.0000000;1926.5000000;318
20180103;161500;1927.0000000;1927.0000000;1926.5000000;1927.0000000;1189
20180103;162000;1927.0000000;1927.5000000;1927.0000000;1927.5000000;582
20180103;162500;1928.0000000;1928.0000000;1926.5000000;1926.5000000;11
20180103;163000;1927.0000000;1928.5000000;1925.0000000;1928.5000000;243
20180103;163500;1928.5000000;1928.5000000;1924.5000000;1926.5000000;56
20180103;164000;1925.0000000;1925.0000000;1924.0000000;1924.0000000;100
20180103;164500;1926.5000000;1927.5000000;1923.5000000;1924.0000000;76
20180103;165000;1926.0000000;1926.0000000;1920.0000000;1925.0000000;389
20180103;165500;1923.5000000;1925.0000000;1923.0000000;1923.0000000;90
20180103;170000;1923.5000000;1923.5000000;1923.0000000;1923.0000000;6
20180103;170500;1923.0000000;1923.0000000;1923.0000000;1923.0000000;60
20180103;171000;1924.0000000;1927.0000000;1923.0000000;1926.0000000;218
20180103;171500;1926.5000000;1930.0000000;1926.5000000;1930.0000000;716
20180103;172000;1930.0000000;1930.0000000;1930.0000000;1930.0000000;1
20180103;172500;1930.0000000;1930.0000000;1928.0000000;1928.0000000;59
20180103;173000;1928.5000000;1928.5000000;1919.0000000;1926.0000000;412
20180103;173500;1923.5000000;1940.0000000;1919.0000000;1940.0000000;2587
20180103;174000;1938.0000000;1945.0000000;1938.0000000;1945.0000000;2194
20180103;174500;1944.5000000;1947.0000000;1934.0000000;1939.5000000;1845
20180103;175000;1940.0000000;1946.0000000;1940.0000000;1946.0000000;733
20180103;175500;1946.5000000;1948.5000000;1938.0000000;1938.5000000;1564
20180103;180000;1937.0000000;1941.0000000;1937.0000000;1938.5000000;615
20180103;180500;1938.5000000;1943.5000000;1937.0000000;1943.5000000;2746
20180103;181000;1945.0000000;1949.5000000;1943.5000000;1949.5000000;552
20180103;181500;1945.5000000;1948.0000000;1942.0000000;1944.0000000;362
20180103;182000;1942.5000000;1942.5000000;1940.0000000;1942.0000000;185
20180103;182500;1941.5000000;1943.5000000;1941.5000000;1943.0000000;387
20180103;183000;1944.5000000;1949.0000000;1944.5000000;1949.0000000;289
20180103;183500;1949.0000000;1949.0000000;1943.5000000;1945.0000000;307
20180103;184000;1943.5000000;1945.0000000;1943.0000000;1943.0000000;719
20180103;185000;1943.5000000;1943.5000000;1943.5000000;1943.5000000;169
20180104;100500;1949.5000000;1960.0000000;1949.5000000;1958.0000000;510
20180104;101000;1958.0000000;1959.0000000;1954.5000000;1958.0000000;92
20180104;101500;1958.0000000;1959.0000000;1955.0000000;1955.0000000;218
20180104;102000;1955.0000000;1959.0000000;1949.0000000;1951.5000000;805
20180104;102500;1950.5000000;1953.5000000;1950.5000000;1953.5000000;13
20180104;103000;1952.5000000;1953.0000000;1952.0000000;1952.5000000;22
20180104;103500;1952.0000000;1953.0000000;1952.0000000;1953.0000000;16
20180104;104000;1953.0000000;1953.0000000;1952.0000000;1952.5000000;102
20180104;104500;1952.0000000;1953.0000000;1950.5000000;1952.5000000;49
20180104;105000;1951.0000000;1952.5000000;1948.0000000;1948.0000000;162
20180104;105500;1948.0000000;1951.5000000;1947.5000000;1951.5000000;135
20180104;110000;1945.5000000;1947.0000000;1943.0000000;1947.0000000;157
20180104;111000;1947.5000000;1948.5000000;1947.5000000;1948.5000000;8
20180104;111500;1948.5000000;1949.0000000;1947.0000000;1947.5000000;114
20180104;112000;1947.5000000;1949.5000000;1947.0000000;1948.5000000;52
20180104;112500;1949.5000000;1951.5000000;1947.5000000;1947.5000000;352
20180104;113000;1950.0000000;1950.0000000;1948.5000000;1949.5000000;71
20180104;113500;1950.0000000;1950.0000000;1949.0000000;1949.5000000;80
20180104;114000;1949.5000000;1951.5000000;1947.5000000;1948.0000000;154
20180104;114500;1947.5000000;1947.5000000;1947.5000000;1947.5000000;30
20180104;115000;1949.5000000;1951.5000000;1949.5000000;1949.5000000;290
20180104;115500;1952.0000000;1955.5000000;1952.0000000;1955.5000000;730
20180104;120000;1955.5000000;1958.0000000;1953.0000000;1955.5000000;487
20180104;120500;1956.5000000;1956.5000000;1953.5000000;1955.0000000;14
20180104;121000;1954.0000000;1954.0000000;1953.5000000;1953.5000000;25
20180104;121500;1954.5000000;1955.0000000;1954.5000000;1955.0000000;13
20180104;122000;1954.5000000;1955.0000000;1952.5000000;1952.5000000;22
20180104;122500;1952.0000000;1954.5000000;1951.0000000;1952.0000000;41
20180104;123000;1954.0000000;1954.5000000;1954.0000000;1954.5000000;26
20180104;123500;1954.5000000;1955.0000000;1953.0000000;1953.0000000;80
20180104;124000;1955.0000000;1957.5000000;1955.0000000;1957.5000000;201
20180104;124500;1957.5000000;1958.0000000;1957.5000000;1958.0000000;32
20180104;125000;1955.5000000;1958.0000000;1954.5000000;1957.5000000;262
20180104;125500;1957.5000000;1958.0000000;1957.5000000;1958.0000000;80
20180104;130000;1958.0000000;1958.0000000;1957.5000000;1957.5000000;88
20180104;130500;1957.5000000;1957.5000000;1957.5000000;1957.5000000;2
20180104;131000;1957.0000000;1958.0000000;1955.5000000;1958.0000000;37
20180104;131500;1958.0000000;1959.0000000;1958.0000000;1958.5000000;419
